순번,컬럼명,도메인,역할,비고
1,연도,공통,키,
2,시도,공통,키,
3,시군구,공통,키,
4,시군구코드,공통,키,
5,log_피해밀도_본per_ha,노출도,핵심-Y,메인 종속변수. 229개 전체·실측 6년(2017-2022) 커버리지 넓음
6,log_인접시군_피해밀도_본per_ha,노출도,진단용,"공간시차(spatial lag) - 설명변수 투입 금지, Moran's I 등 진단 전용"
7,연속발생연수,노출도,보조,결과 인접 변수. 통제변수로 신중히 사용
8,집단발생여부,노출도,보조,결과 인접 변수. 통제변수로 신중히 사용
9,소나무류_면적비율(%),노출도,핵심,핵심 노출 지표. 강화군·인천동구는 원본 임상도 재매칭으로 복원됨
10,최근감염목과의_거리_km,노출도,제외,값 오류로 재계산 전까지 사용 불가
11,데이터유형,노출도,품질,실측/추정 연도 구분
12,인접시군_산정방식,노출도,품질,실제 인접 vs centroid 대체 구분
13,임상도_기준판,노출도,품질,2019년판/2024년판 임상도 버전 표시
14,stnId,기후위험도,품질,"관측소 ID, 클러스터 SE용"
15,거리_km,기후위험도,품질,관측소까지 거리. 시군구별 연도 내내 고정값(정적 변수)
16,겨울철_평균최저기온,기후위험도,제외,GDD와 between VIF 27~46 - 동시 투입 금지
17,여름철_평균기온,기후위험도,제외,GDD와 between VIF 27~46 - 동시 투입 금지
18,연강수량_mm,기후위험도,핵심,
19,평균풍속_ms,기후위험도,핵심,
20,GDD_솔수염하늘소_base11.9,기후위험도,핵심,유일한 온도 대표변수로 채택(다른 온도 후보 VIF 98~109)
21,GDD_북방수염하늘소_base8.3,기후위험도,제외,GDD_솔수염하늘소와 VIF 98~109 - 동시 투입 금지
22,SPI3_최저월(최심가뭄),기후위험도,핵심,유효월수<11 행은 NaN 처리 후 사용
23,SPI3_유효월수,기후위험도,품질,SPI3 유효성 게이트용
24,연간관측일수,기후위험도,품질,부분연도(<360일) 게이트용
25,겨울철_자료완전성,기후위험도,품질,
26,대응자원투입예산_소나무림ha당_log,지자체대응역량,제외,재선충명시 버전과 96.6% 동일(사실상 산림병해충포괄과 같은 정의) - 재선충명시 버전으로 대체
27,예찰진단예산_소나무림ha당_log,지자체대응역량,제외,2016년 100% 결측 버그 있는 구버전 - 재선충명시 계열로 대체
28,예산자료_사용가능여부,지자체대응역량,품질,0이면 예산 원값 결측
29,대응자원투입예산_원,지자체대응역량,검산,*_원과 *_log는 같은 정보를 다른 스케일로 표현 - 한 세트만 선택
30,예찰진단예산_원,지자체대응역량,검산,2016 결측버그 있는 구버전 원자료
31,소나무림면적_원자료_ha,공통(소나무림면적),품질,보정 전 원본값. 강화군·인천동구 보정 이력 확인용
32,소나무림면적_보정_flag,공통(소나무림면적),품질,"소나무림 면적 보정 여부, 민감도 분석에 활용 가능"
33,log_소나무림면적,공통(소나무림면적),핵심,"인위적확산 도로비율·원목업체수와 동반 필수 투입 변수. 면적=0(영등포구·대구중구, GIS 재검증된 진짜 0)인 16행은 NaN"
34,면적하한미달_flag,공통(소나무림면적),품질,소나무림 면적이 매우 작은 지역 표시 - 강건성 분석에서 제외 조건으로 활용 가능
35,소나무림면적_자료유효_flag,공통(소나무림면적),품질,ha당 log 계산의 분모 유효성 플래그. 영등포구·대구중구는 GIS 재매칭으로 1(유효)로 확정
36,예산결측사유,지자체대응역량,품질,observed / source_missing 등
37,집계구분_지자체대응역량,지자체대응역량,품질,다구시 집계 방식(시본청예산 등)
38,대응자원투입예산_원_산림병해충포괄,지자체대응역량,검산,민감도 로그변수의 원자료
39,예찰진단예산_원_산림병해충포괄,지자체대응역량,검산,민감도 로그변수의 원자료
40,대응자원투입예산_소나무림ha당_log_산림병해충포괄,지자체대응역량,민감도,재선충명시 변수와 동시 투입 금지 - 대응체계 proxy로 활용 가능
41,예찰진단예산_소나무림ha당_log_산림병해충포괄,지자체대응역량,민감도,"2016년은 포괄 예찰 log가 전부 결측이므로 제외, 2017-2023 권장"
42,대응자원투입예산_원_재선충명시,지자체대응역량,검산,재선충 명시 자원투입 예산 원자료(지방비 기준)
43,예찰진단예산_원_재선충명시,지자체대응역량,검산,재선충 명시 예찰·진단 예산 원자료(지방비 기준)
44,대응자원투입예산_총액_재선충명시,지자체대응역량,검산,
45,예찰진단예산_총액_재선충명시,지자체대응역량,검산,
46,대응자원투입예산_소나무림ha당_log_재선충명시,지자체대응역량,핵심,주 분석 투입 - 재선충 명시 자원투입예산의 ha당 log
47,예찰진단예산_소나무림ha당_log_재선충명시,지자체대응역량,검산,양수 관측이 적어 주 변수보다는 검산/보조 해석 권장 - 핵심은 예찰사업_재선충명시_존재_flag
48,대응자원투입사업_재선충명시_존재_flag,지자체대응역량,검산,재선충 명시 자원투입 사업 존재 여부
49,예찰사업_재선충명시_존재_flag,지자체대응역량,핵심,"주 분석 투입 - 재선충 명시 예찰사업 존재하면 1, 예산자료 자체 없으면 결측. 양수비율 낮아 CI 넓게 나올 수 있음"
50,예찰사업명_2016비표준_flag,지자체대응역량,품질,2016년 결측버그의 원인 flag. 재선충명시 변수는 2016 포함 가능하되 통제/민감도 기준으로 사용
51,재선충명시_집계범위,지자체대응역량,품질,
52,이동통제예산_원_산림병해충포괄,지자체대응역량,보류,11개 상위 시(다구시)에서 구단위 합산 원천의 예산 필드가 비어있어 0/결측 구조 불안정
53,이동통제예산_소나무림ha당_log_산림병해충포괄,지자체대응역량,보류,이동통제 원예산의 11개 상위 시 문제가 그대로 반영됨
54,예찰진단예산비중_산림병해충포괄,지자체대응역량,보류,11개 상위 시에서 비율 분모가 없어 8년 내내 결측
55,이동통제예산비중_산림병해충포괄,지자체대응역량,보류,11개 상위 시에서 비율 분모가 없어 8년 내내 결측
56,이동통제예산비중_광의예산대비_산림병해충포괄,지자체대응역량,보류,11개 상위 시에서 비율 분모가 없어 8년 내내 결측
57,활동방제법인수_확장,지자체대응역량,검산,방제법인수_소나무림1만ha당_log의 원자료
58,방제법인수_소나무림1만ha당_log,지자체대응역량,보조,2023년(법인자료_관측여부=0)은 v2 파일에서 이미 결측 처리됨(공식 분류문서 권고사항)
59,반출금지구역_지정여부,지자체대응역량,보조,해당 시군구에 반출금지구역이 지정되어 있으면 1
60,반출금지구역면적_ha,지자체대응역량,검산,반출금지구역면적비율의 분자 원자료
61,반출금지구역면적비율,지자체대응역량,보조,규제구역 정의상 1을 초과할 수 있음
